Sample_Texts,Emotion_output,
"Very few make the cut at Google interviews. It all boils down to how well prepped you are. A structured, 360° prep strategy can go a long way in helping you bag that coveted Google tech job. And if you’re on the lookout for an interview prep program, interview Kickstart is a good place to start.

Interview Kickstart is a technical interview prep school with a single point focus on helping software engineers crack technical interviews at top-tier firms. We take a holistic approach to interview prep, covering every aspect of the process. Right from building your LinkedIn profile",Positive,
"When I failed my second prelims, just imagine my state. Broken to bits. However I had to get up with all my will and put in every ounce of energy I had in preparation. This involved a lot of hardwork. For 1.5 years, I had set my alarm clock: as sleep at 10:30 pm, get up at 6:00 am. Infact I still follow this timing because my body has been conditioned into this habit.

I worked hard like a donkey, whether it be making concise notes of every topic or writing numerous tests for both prelims and mains. I had become a machine when it came to revisions. I took care of my diet, eating healthy and avoiding junk as far as possible.

All I know is that if you dream, put in all resources you have to fulfill that dream. When I used to read about Anu Kumari or Pushp Lata, having kids and then preparing, I used to feel a sense of rebuke for myself. I had all kinds of support- financial, moral, family. I had 24hrs to prepare and still I was faltering.

Hence, do not whine, do not complain. Just work harder. Dream big, stay positive and enjoy",Negative,
"He kept on insisting that I should move to Delhi to kickstart my UPSC preparations and finally succeeded in convincing me to make the journey in October that year. He promised to take care of himself and his treatment and insisted that I shouldn’t worry too much and focus on my goal. I still vividly remember the day when he saw me off at Rishra railway station. I touched his feet. That was the last time.

I began settling in Delhi. Meanwhile, my dad’s condition steadily started deteriorating. He talked only once a week over phone, lest I get disturbed. And whenever he called, he only talked about my studies, my mock tests and nothing else. He always deflected questions on his health saying he was alright and even instructed my mother and sisters to not talk about it. So much so that even in his final days when he was asked whether I should be called back from Delhi, he vehemently opposed! I have never seen a man as brave as him. I will never see a sacrifice as big as this.

I was racing against all odds to clear UPSC sooner so that I could afford better treatment for him. I lost that race. It was May 31, 2015 when I was still in Vajiram that I got the call. My cousin informed that my father was no more.

It had affected my mental and physical health and I couldn’t give my best in the prelims in August that year. I failed. But I gathered myself again. I took inspiration from my father’s sacrifices and the reason for which he bore all the pain. Almost as a tribute the sacrifices of my father, on his 2nd death anniversary, on 31st May, 2017 the UPSC results were declared and I fulfilled his dream. However, the fact that he would never know it and he was not there to celebrate this, will haunt me forever.

I share this story to reiterate that if no one is with you in your struggles, your parents are. They will give up everything to see that you are through.",Negative,
I just escaped from my abusive boyfriend after 6 years. This time he tried to kill me with a metal baseball bat and knocked my teeth out. How do I keep afloat without his income to help?,Negative,
"We live in Kanada I'm ateist. I fell in love with my spouse who is muslim. He thinks that during sharp argument is ok if he will discipline me with hitting, slapping and some harsh reactions and it's okay for me. I explained to him that argument must be only verbal never physical abusive. He told me that in his society is very normal to discipline a wife with hitting, slapping ( not hurting much not blood )light hitting, on arms, shoulders with palms. But last time he took my hair and pulled them also slapped me on my face and punched me to the chin .of course it was painful. So i explained to him that it's not normal for me. He still keeps saying that it's ok in his surroundings. I love him but i don't want during sharp argument each time get some discipline as a hitting, slapping and etc. He is from Egypt. What i can do. We didn't have this discussions about itbefore wedding. We just had dating. But he is very agreesive sometimes. What i can do ?",Negative,
"1 years ago I was an abusive piece of shit. I fell in love with a girl named Sara, it started out great, but I was not a good man in those days and I put her through hell. I was afraid of losing her, afraid of opening up to her, afraid of the world, afraid of people, afraid of everything. I was a fucking cowardly son of a bitch and my fear of losing her and my fear of everything I couldn't control led me to controlling her. I lacked confidence, I had no self esteem, and I was was damned if I was going to let her go.. and I hurt her many times, and that woman suffered through my bullshit temper tantrums and bullshit contradictory behavior for three years before you finally gave up on the hope that I would ever change. I was such a coward and a fucking idiot that I remember after the break up I really couldnt understand why she left me. I even had the audacity to confront her about it a few months after she left me and I watched as this girl broke down, told me how much she really loved me, told me what a good person I was when I wasn't knocking her down, or hitting her and how that side of me is what kept her from leaving. She went into very great detail about all of the rotton, mean, abusive and cowardly things I had done to her. I saw the pain in her eyes for the first time, that horrible pain... That pain that I put her through. That I caused. I felt it right through my fucking soul and for months and months after that I had terrible nightmares, I would wake up crying as if she had just left me all over again and you know what... I deserved every fucking second of those nightmares and those painful feelings. I deserved so much worse than that. It changed me. I put myself through therapy and anger management. I learned about personal responsibility, power and control, abusive relationships and I vowed to never be that cowardly piece of shit ever again. I killed that man I once was.",Negative,
"In my first marriage, we were fighting really bad. He shoved me to the floor infront of our young children and tried to push me out the front door. That was long time ago. I don’t remember what we were fighting about. I got up and told him if he ever touched me again I would kill him in his sleep. After that, he cussed and yelled but never pushed or hit me again. I know it was the wrong thing to do. We did divorce later after that. But I had enough and I no longer cared. You can’t stop him, Better to end it now and try your best to keep him from getting your kids.",Negative,
"I was in your position when I was a young girl. The guy would beat me then be sorry and remorseful for a day or so. I got the feeling that it was incumbent upon me to fix the situation. I just wasn’t trying hard enough. The beatings became more frequent. The next to last time he nearly killed me. In the end I had to just leave. It was hard. Felt like a magnetic pull, the need to fix it or something, I really don’t know. I believe he would have kept it up until I died. I’m glad I didn’t keep it up until he killed me.",Negative,
"My mother is exactly like this. The moment you try to talk to her about how she mistreats you, she abuses you further, hangs up the phone, blocks you, or just walks away and cuts you out of her life. My mother always treated me badly and never once was open to discussing how she treated me or apologizing and fixing things. My mother always blames me for everything. In her mind, I am a horrible child/son and that is why she cut me out of her life. There is no conflict resolution or talking things out with her. It's her way or no way, even if her way is very hurtful, unfair, and cruel. It took me a long time to realize that my mother had some serious issues which contributed to her treating me the way she did. For a long time I thought I was to blame. I've realized that how my mom treated me doesn't really have anything to do with me, but rather, everything to do with her.",Negative,
"Leave him and never look back. I sadly have been narcissistic and abusive Verbally many times so I know what this looks like, some people just don’t get better. I am happy that i did and matured. If I’m behind honest, i was never a bad person. I have and still go through more than a lot of people. That is not taking away others pain but I’m really going through it. He needs to get better on his own. You need to tell him that you will no longer be abused by him and if he wants you, he needs to actually put in effort to change, he is not a good person. You and your son need to stay far away from him. And do not give him reactions. That is the number one thing abusers like, the reaction they get from from doing bad and manipulative things to the victim.",Negative,
"A surprisingly large number of women do. Way too many. They may not care for the abuse, but they love the abusive man. Seriously, what is it that you seem to hear every time someone asks a woman why they don’t leave him? “But, I love him.” Sound familiar? While the abusive men are a problem and we should not tolerate them, they bigger problem is the women with such low self esteem. Instead of sentencing the men to jail, Society and these women would probably be better off if we sentenced these women to counselling to deal with their self esteem issues. Not saying we should not punish the abusers, just saying if we have to choose between one or the other, helping the women would probably do more good than punishing the men. By the way, this also goes both ways. Men can use help too. probably more so. There are presently a ton of resources and agencies for abused women, but precious few for abused men.",Negative,
"Farmers committing suicide do it out of a sense of haplessness. When they get cornered and see no hope, they take this extreme step. In most cases, the family that is left behind is placed in a situation that is far worse than earlier. The decision action may be impulsive but the pressures build over a long time until something snaps.",Negative,
"Recently, AAP claimed that 5,874 farmers committed suicide in Gujarat in last 10 years. The Gujarat government claims that only 1 farmer suicide in Gujarat was due to crop failure. The other suicides were not related to crop failures - they were due other reasons such as family issues. The farmers do not show a greater tendency to commit suicide than the general population.

Let us try to study this issue in detail.",Negative,
"Her name was Esther and I clearly remember her story.

Abandoned by all eight children, and waiting since the past five years to see them.

She seemed pretty sad at first ( just like any other person there) but after interacting with her I concluded that she had somehow convinced herself that she would never see her children again. A part of her had given up.

She told us that before being bought here, she had spent her life cooking dishes at various houses across Delhi, Mumbai, Bangalore, and even the United States.

And now what she does in her free time is painting and sketching.",Negative,
"I am in old age care homes at least 4 times each week as a volunteer doing therapy with care bunnies over many years. I recognize no justification for claims of anything supernatural and all conversations with people who have made such claims have been a procession of fallacious justifications. In fact, in my experience, applying rational scepticism in such conversations results in a sort of inverse logic ",Positive,
"The truth is, that growing old has as many exciting challenges and wonderful experiences as growing up, but only if you look for them. Beef, cheese and wine all get better with age, as do our friendships, wisdom and writing ability.

Sure there are things that I can no longer do, but where is the great loss in not being able to do the things you no longer want to do? The grace to be found in growing old is underpinned by the fact that capacity wanes in direct proportion to desire.

Now while old age still catches most of us unaware, as a young man I made a point of learning to recite this extract from the Tennyson poem 'Ulysses', in the hope that when my time came to be old that I too would also be able to shake my fist at the debilitators of 'time and fate' and speak the poet's words with the same conviction and determination:",Negative,
"Some merciless adults dump their old aged parents in old aged homes and never ever bother to come and see them later on. They don’t care even a bit about their responsibility towards them in old age. Today the society has become money mined. Everyone is hankering after money, power and fame. So in the given scenario, old aged people are considered a big economic liability. The old aged people fear loneliness all the time. They wish to see their loved ones around but alas no one is bothered whether they are alive or dead.

In fact, many old people, unable to bear this loneliness, commit suicide. Aging also hardens the likes and dislikes of a person—his or her prejudices, perceptions, and value judgments that refuse to acknowledge the reality of aging. Many people get extremely panicky when they become old. Old age people become depressed and feel lonely all the time. Life becomes a burden for them.

Old age — like youth and middle age, is both a curse and a blessing. They suffer from various diseases. No one cares for them. They suffer from diabetes, arthritis, body pains and various health ailments. They are financially dependent on their children for medical assistance. The children consider their health problems a major drain of their money. Attending a sick old age person is considered an intrusion in their independence and personal space.",Negative,
"I worked in an old age home. People go in there knowing they will die there.

They feel useless. There is no work or tasks for them to do. Nobody wants their help or advice.

They feel relieved that they are not a burden to their families and can be with others in the same boat. No more worry about how they are going to care for themselves.

They feel so lonesome. If they are lucky their friends and family will do a duty call once in awhile. The staff comes and goes so you don't want to get too attached to anyone. Fellow residents get sick and die or lose their marbles. All those people and nobody to connect with.

They feel fear. Am I going to end up like her/him?

The food usually isn't very good. They are only served what Dr. Orders and can't even say Piss on it if that's what they want to do. Very little, if any privacy. Everybody looking at your old naked body whether youl like it or not. Some of the staff is very kind, some uncaring. You can't eat, sleep, or bathe when you want to. Can't sleep. Wish I could watch TV till I conk out. Ah, no; you're roommate (who drives you nuts) is sleeping.",Negative,
"When I visit nursing homes, especially those which cater to the less affluent, I feel a sort of revulsion. The smells, the sounds, the droopy heads bobbing on chests, the wheelchairs all over the place. It isn’t pretty. I’m repulsed by how our elderly end up living - if you can call it that. So very sad that we, of all nations, cannot figure out how to deal with old age with compassion and community.

I am not criticizing those who are caring and compassionate workers in these facilities (I know some are!) and who do for our elderly what we cannot, or will not, do. I also realize there are circumstances that at times require care facilities, but compared to other countries, I don’t think we’ve got anything to hold our heads up about in this department.

Of course, if you’ve got money to burn . . . that’s another story. I’ve been in some very posh centers where there is a high level of cleanliness, care, and comfort. These are like old age resorts or country clubs. In the best facilities the residents may die of loneliness, but they will not die of neglect.",Negative,
"They told me that they observed the biggest source of unhappiness and bitterness in most of the residents’ lives was disappointment in their children, including that the children never visited, and that because they had no children to be bitter about, they didn’t have that worry. I told this couple that I didn’t think I wanted to have children but worried if I would regret it. They both assured me they never regretted it, with twinkling eyes and loving looks to each other. Of course, another reason they could be happy is that they were there together and had a happy marriage— neither was alone. I suspect they were the type of couple who, when one passes, the other passes not too long after.

I did in fact choose not to have children, and now I am over 60yo and do not regret it. I’m in a happy marriage of 22+ years— after a number of unhappy relationships earlier in life I figured out how to make a better choice for me and I did a lot of therapy over the years to learn to function better after my dysfunctional childhood. It was the right choice for me and for my partner, neither of us have the temperament, not to mention all the other good reasons which include there being plenty of humans already on the planet.",Positive,
"Thanks for the A2A.
I have appeared for GATE three times, once with my final year of B.Tech in 2013 and once with my Job in 2014 and latest when I was teaching at my own company Kreatryx when I got AIR-1 in 2018. Let me tell about both those attempts.

With y B.Tech I was very much worried about the placements as ours was the first batch at IIT Indore and we really had not very high hopes of getting placed so I started to prepare for GATE. We were a group of 3–4 people preparing for GATE and I did not have much idea about which coaching is best and what books to refer and all. Moreover, we lived far away from the city so we could not travel for classes so I thought I would prepare self through Standard Books. So, I started to prepare after my 6th Semester. That time I did not a=have much idea even about syllabus so I prepared one subject which might help me in placements but was not a part of GATE course during summer vacations. As per me that is best time to prepare for GATE due to no pressure of college studies.

Then I took up standard books and marked the topics mentioned in GATE syllabus and studied those from books. For problem solving I bought question bank from market. Then during summer vacations I prepared 1–2 subjects for GATE which needed more focus. Then during 7th semester I used to dedicate after college hours to GATE preparation in which I would study one chapter from Standard Book and solve problems based on that and side by side I kept writing down formulas and important concepts to create short notes. That way I covered most of the course by November. Then in December I got placed in CMC from campus so I returned home to prepare for GATE and during that time I used to devote my entire day for GATE preparation. So, I was able to cover my course by Dec end.

In 8th semester the problem was revision so I could not figure out a better way to revise than to give mock tests so that I could solve all the subjects in one go. So, daily I used to give one mock test and I even solved previous year GATE questions as year wise mock tests and this really taught me time management as well as some useful concepts.
This way I scored 84/100 marks and got AIR-8. But still I went for private sector job as my interest was to work with latest technologies but soon it became clear to me that it is all a myth and work is same in all industries. Then I thought I would rather work in public sector and so I started preparing for GATE 2014 from month of September or so.

My notes were already with me which I used for revision and focused more on problem solving and I had not lost touch with concepts as during the month before September I was teaching as well as I was working part time as content developer. So, I solved question banks in office and solved test series at home each day to better my rank from 8 to 1 but as fate would have I dropped the idea of public sector again and started my own venture Kreatryx.

This was my schedule during both years and I used to dedicate whatever time I had for studies as I always thought of it as my life depended on GATE result.
I sincerely hope that you get something out of my experience.",Positive,
"My answer is pertaining to the struggles of a dropper when Made Easy’s classes for Computer Science were being held at Ber Sarai, opposite Jawahar Lal Nehru University’s old campus. The classes have now completely shifted to Saket, around 6 kms away.

I think, the first and foremost, of course is the mental pressure that comes with dropping. A lot of the people I knew had left lucrative jobs and placement offers to come prepare for GATE. So a lot was counting on the exam for them. It feels like you only have one chance in life, and that is this upcoming GATE exam in February. This of course, sounds delusional in hindsight, but when you are in the heat of the moment, you cannot help but have these thoughts. You thought you would be financially independent once and for all when you become an engineer, but as fate would have it, your father has to empty his pockets again, so you can compete with one lakh other people sailing in the same boat.

Second comes the social pressure, not only on you but your family as well. Most of the non-technical uncles and aunts have never heard of this exam called GATE. When you or your parents tell them you finished your BTech and are now preparing for GATE, they literally have no clue. They will begin badmouthing you in your social circles and this can let a lot of negativity creep in within you, but only if you let it. A lot of people would definitely understand you are preparing for entrance into Masters’ but the very next moment, some of them would point out how a masters don’t mean a dime in today’s world. And you will just have to node in agreement, short of words and reasons to defend how you are still jobless despite having finished your engineering.",Negative,
